Year,Jurisdiction,All students,Average scale score,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile
2000¹,New York,All students,—,—,—,—,—,—
2000¹,North Carolina,All students,—,—,—,—,—,—
2000¹,North Dakota,All students,—,—,—,—,—,—
2000¹,Ohio,All students,—,—,—,—,—,—
2000¹,Oklahoma,All students,—,—,—,—,—,—
2000¹,Oregon,All students,—,—,—,—,—,—
2000¹,Pennsylvania,All students,—,—,—,—,—,—
2000¹,Rhode Island,All students,—,—,—,—,—,—
2000¹,South Carolina,All students,—,—,—,—,—,—
2000¹,Tennessee,All students,—,—,—,—,—,—
2000¹,Texas,All students,—,—,—,—,—,—
2000¹,Utah,All students,—,—,—,—,—,—
2000¹,Vermont,All students,—,—,—,—,—,—
2000¹,Virginia,All students,—,—,—,—,—,—
2000¹,Washington,All students,—,—,—,—,—,—
2000¹,West Virginia,All students,—,—,—,—,—,—
2000¹,Wisconsin,All students,—,—,—,—,—,—
2000¹,Wyoming,All students,—,—,—,—,—,—
1998,National,All students,215,163,191,217,242,262
1998,Alabama,All students,211,165,188,213,236,256
1998,Arizona,All students,206,154,181,209,235,255
1998,Arkansas,All students,209,158,184,212,236,255
1998,California,All students,202,147,176,206,232,253
1998,Colorado,All students,220,174,199,224,244,261
1998,Connecticut,All students,230,186,210,233,254,270
1998,Delaware,All students,207,152,183,211,235,256
1998,District of Columbia,All students,179,119,149,180,211,239
1998,DoDEA,All students,220,174,198,222,245,264
1998,Florida,All students,206,150,181,211,234,254
1998,Georgia,All students,209,156,183,212,237,256
1998,Hawaii,All students,200,145,174,203,229,249
1998,Idaho,All students,—,—,—,—,—,—
1998,Indiana,All students,—,—,—,—,—,—
1998,Iowa,All students,220,173,199,224,245,262
1998,Kansas,All students,221,176,202,225,245,262
1998,Kentucky,All students,218,173,195,219,242,260
1998,Louisiana,All students,200,148,175,203,228,249
1998,Maine,All students,225,183,205,227,247,264
1998,Maryland,All students,212,157,187,216,240,259
1998,Massachusetts,All students,223,178,203,226,247,264
1998,Michigan,All students,216,169,194,219,240,258
1998,Minnesota,All students,219,167,197,225,247,264
1998,Mississippi,All students,203,156,179,205,229,249
1998,Missouri,All students,216,168,194,219,241,259
1998,Montana,All students,225,180,204,227,248,265
1998,Nebraska,All students,—,—,—,—,—,—
1998,Nevada,All students,206,156,182,209,232,252
1998,New Hampshire,All students,226,186,207,228,247,264
1998,New Jersey,All students,—,—,—,—,—,—
1998,New Mexico,All students,205,153,181,208,233,253
1998,New York,All students,215,165,193,219,242,259
1998,North Carolina,All students,213,161,190,216,240,259
1998,North Dakota,All students,—,—,—,—,—,—
1998,Ohio,All students,—,—,—,—,—,—
1998,Oklahoma,All students,219,176,198,222,242,259
1998,Oregon,All students,212,158,189,216,239,258
1998,Pennsylvania,All students,—,—,—,—,—,—
1998,Rhode Island,All students,218,169,196,222,244,263
1998,South Carolina,All students,209,161,185,211,235,254
1998,Tennessee,All students,212,163,189,214,238,256
1998,Texas,All students,214,164,190,218,241,259
1998,Utah,All students,216,170,195,219,240,258
1998,Vermont,All students,—,—,—,—,—,—
1998,Virginia,All students,217,170,195,220,243,261
1998,Washington,All students,218,172,196,221,243,260
1998,West Virginia,All students,216,170,193,218,240,258
1998,Wisconsin,All students,222,180,202,225,245,261
1998,Wyoming,All students,218,174,196,220,242,260
1998¹,National,All students,217,167,193,220,244,263
1998¹,Alabama,All students,211,163,187,213,237,256
1998¹,Arizona,All students,207,153,181,210,235,255
1998¹,Arkansas,All students,209,158,186,212,236,255
1998¹,California,All students,202,145,176,206,232,253
1998¹,Colorado,All students,222,176,201,225,245,262
1998¹,Connecticut,All students,232,189,212,235,254,270
1998¹,Delaware,All students,212,164,189,214,237,257
1998¹,District of Columbia,All students,182,125,153,182,212,238
1998¹,DoDEA,All students,222,179,201,224,245,264
1998¹,Florida,All students,207,153,183,212,236,255
1998¹,Georgia,All students,210,160,185,213,237,256
1998¹,Hawaii,All students,200,144,174,204,229,249
1998¹,Idaho,All students,—,—,—,—,—,—
1998¹,Indiana,All students,—,—,—,—,—,—
1998¹,Iowa,All students,223,180,203,226,246,262
1998¹,Kansas,All students,222,177,204,226,245,261
1998¹,Kentucky,All students,218,173,196,220,241,261
1998¹,Louisiana,All students,204,155,180,206,231,250
1998¹,Maine,All students,225,185,206,227,247,263
1998¹,Maryland,All students,215,163,191,218,242,261
1998¹,Massachusetts,All students,225,184,206,227,248,265
1998¹,Michigan,All students,217,171,196,219,241,258
1998¹,Minnesota,All students,222,173,200,226,248,264
1998¹,Mississippi,All students,204,157,181,206,230,249
1998¹,Missouri,All students,216,169,195,220,242,259
1998¹,Montana,All students,226,185,206,228,248,265
1998¹,Nebraska,All students,—,—,—,—,—,—
1998¹,Nevada,All students,208,157,184,211,234,253
1998¹,New Hampshire,All students,226,183,208,229,248,264
1998¹,New Jersey,All students,—,—,—,—,—,—
1998¹,New Mexico,All students,206,153,181,209,234,254
1998¹,New York,All students,216,167,194,219,242,259
1998¹,North Carolina,All students,217,172,195,219,241,260
1998¹,North Dakota,All students,—,—,—,—,—,—
1998¹,Ohio,All students,—,—,—,—,—,—
1998¹,Oklahoma,All students,220,177,199,222,243,259
1998¹,Oregon,All students,214,164,193,218,241,258
1998¹,Pennsylvania,All students,—,—,—,—,—,—
1998¹,Rhode Island,All students,218,169,197,222,244,263
1998¹,South Carolina,All students,210,163,187,212,235,254
1998¹,Tennessee,All students,212,164,190,215,238,257
1998¹,Texas,All students,217,172,195,220,241,259
1998¹,Utah,All students,215,168,194,218,240,258
1998¹,Vermont,All students,—,—,—,—,—,—
1998¹,Virginia,All students,218,172,196,221,243,261
1998¹,Washington,All students,217,169,195,220,242,260
1998¹,West Virginia,All students,216,170,194,219,241,259
1998¹,Wisconsin,All students,224,186,205,226,246,262
1998¹,Wyoming,All students,219,175,198,221,243,261
1994¹,National,All students,214,159,189,219,243,263
1994¹,Alabama,All students,208,155,182,210,236,257
1994¹,Arizona,All students,206,148,179,210,237,259
1994¹,Arkansas,All students,209,156,184,212,237,256
1994¹,California,All students,197,137,168,201,229,250
1994¹,Colorado,All students,213,162,190,217,241,260
1994¹,Connecticut,All students,222,170,199,227,250,269
1994¹,Delaware,All students,206,151,181,211,235,257
1994¹,District of Columbia,All students,179,124,150,179,207,233
1994¹,DoDEA,All students,—,—,—,—,—,—
1994¹,Florida,All students,205,148,178,208,235,257
1994¹,Georgia,All students,207,148,179,210,239,260
1994¹,Hawaii,All students,201,144,174,204,231,253
1994¹,Idaho,All students,‡,‡,‡,‡,‡,‡
1994¹,Indiana,All students,220,173,197,223,245,263
1994¹,Iowa,All students,223,177,201,225,247,265
1994¹,Kansas,All students,—,—,—,—,—,—
1994¹,Kentucky,All students,212,161,187,214,238,259
1994¹,Louisiana,All students,197,146,171,198,224,246
1994¹,Maine,All students,228,186,208,231,251,268
1994¹,Maryland,All students,210,155,184,214,239,260
1994¹,Massachusetts,All students,223,177,202,226,248,265
1994¹,Michigan,All students,‡,‡,‡,‡,‡,‡
1994¹,Minnesota,All students,218,167,195,223,245,263
1994¹,Mississippi,All students,202,149,175,203,229,251
1994¹,Missouri,All students,217,167,193,220,244,263
1994¹,Montana,All students,222,178,202,225,246,263
1994¹,Nebraska,All students,220,170,197,224,247,265
1994¹,Nevada,All students,—,—,—,—,—,—
1994¹,New Hampshire,All students,223,178,203,227,247,265
1994¹,New Jersey,All students,219,169,196,223,246,265
